symbol,symbolName,fullName,shortJobTitle,transactionType,amount,reportedPrice,usdValue,eodHolding,transactionDate,symbolCode,hasOptions,symbolType
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,366,0.00000,"75,000",N/A,06/30/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,366,0.00000,"75,000",N/A,06/30/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,853,0.00000,"175,000",N/A,06/30/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,158,0.00000,"32,500",N/A,06/30/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,372,0.00000,"75,000",N/A,06/25/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,868,0.00000,"175,000",N/A,06/25/25,STK,Yes,1
AAPL,Apple Inc,Hon Rohit Khanna,US Congressman,Sell,161,0.00000,"32,500",N/A,06/23/25,STK,Yes,1
AAPL,Apple Inc,Hon Clifford Scott Franklin,US Congressman,Sell,164,0.00000,"32,500",N/A,06/16/25,STK,Yes,1
AAPL,Apple Inc,Cleo C. Fields,US Congressman,Buy,861,0.00000,"175,000",N/A,06/03/25,STK,Yes,1
AAPL,Apple Inc,Timothy Keith Moore,US Congressman,Sell,868,0.00000,"175,000",N/A,06/02/25,STK,Yes,1
AAPL,Apple Inc,Timothy Keith Moore,US Congressman,Buy,372,0.00000,"75,000",N/A,06/02/25,STK,Yes,1
AAPL,Apple Inc,Hon Rohit Khanna,US Congressman,Buy,156,0.00000,"32,500",N/A,05/19/25,STK,Yes,1
AAPL,Apple Inc,Chris Kondo,PAO,Sell,"4,486",208.19330,"933,955","15,533",05/12/25,STK,Yes,1
AAPL,Apple Inc,Jefferson Scott Shreve,US Congressman,Sell,830,0.00000,"175,000",N/A,05/12/25,STK,Yes,1
AAPL,Apple Inc,Jefferson Scott Shreve,US Congressman,Sell,"3,798",0.00000,"750,000",N/A,05/08/25,STK,Yes,1
NVDA,Nvidia Corp,Dr Jen Hsun (Jensen) Huang,CEO,Sell,"225,000",169.87000,"38,220,750","857,498,625",07/23/25,STK,Yes,1
NVDA,Nvidia Corp,Dr Jen Hsun (Jensen) Huang,CEO,Sell,"225,000",172.05230,"38,711,768","857,723,625",07/18/25,STK,Yes,1
NVDA,Nvidia Corp,Colette Kress,CFO,Sell,"47,650",170.88500,"8,142,670","5,415,862",07/15/25,STK,Yes,1
